sentenceID,gold_label
113000,0
113001,0
113002,0
113003,1
113004,0
113005,0
113006,0
113007,0
113008,0
113009,0
113010,0
113011,0
113012,0
113013,0
113014,0
113015,0
113016,0
113017,0
113018,0
113019,0
113020,0
113021,0
113022,0
113023,0
113024,0
113025,0
113026,0
113027,0
113028,0
113029,0
113030,0
113031,0
113032,0
113033,0
113034,0
113035,0
113036,0
113037,0
113038,0
113039,0
113040,0
113041,0
113042,0
113043,0
113044,0
113045,0
113046,0
113047,0
113048,0
113049,0
113050,0
113051,0
113052,0
113053,0
113054,0
113055,1
113056,0
113057,0
113058,0
113059,1
113060,0
113061,1
113062,0
113063,0
113064,1
113065,0
113066,0
113067,0
113068,0
113069,0
113070,0
113071,0
113072,0
113073,1
113074,0
113075,0
113076,0
113077,0
113078,0
113079,0
113080,0
113081,0
113082,0
113083,0
113084,0
113085,0
113086,0
113087,0
113088,0
113089,0
113090,0
113091,0
113092,0
113093,0
113094,0
113095,0
113096,0
113097,0
113098,1
113099,0
113100,0
113101,0
113102,0
113103,0
113104,0
113105,0
113106,0
113107,0
113108,0
113109,0
113110,0
113111,0
113112,0
113113,1
113114,0
113115,0
113116,0
113117,0
113118,0
113119,0
113120,0
113121,0
113122,0
113123,0
113124,0
113125,0
113126,0
113127,0
113128,0
113129,0
113130,0
113131,0
113132,0
113133,0
113134,0
113135,1
113136,0
113137,1
113138,0
113139,0
113140,0
113141,0
113142,0
113143,0
113144,1
113145,0
113146,0
113147,0
113148,0
113149,0
113150,0
113151,0
113152,0
113153,0
113154,1
113155,1
113156,0
113157,0
113158,0
113159,0
113160,0
113161,0
113162,0
113163,0
113164,0
113165,1
113166,0
113167,0
113168,0
113169,1
113170,0
113171,0
113172,1
113173,0
113174,0
113175,0
113176,0
113177,0
113178,1
113179,0
113180,1
113181,0
113182,0
113183,0
113184,0
113185,0
113186,0
113187,0
113188,0
113189,0
113190,0
113191,0
113192,0
113193,0
113194,0
113195,0
113196,0
113197,0
113198,0
113199,0
113200,0
113201,0
113202,0
113203,0
113204,0
113205,1
113206,0
113207,0
113208,0
113209,0
113210,0
113211,0
113212,0
113213,0
113214,0
113215,0
113216,0
113217,0
113218,0
113219,1
113220,0
113221,0
113222,0
113223,0
113224,0
113225,0
113226,0
113227,0
113228,0
113229,0
113230,0
113231,0
113232,0
113233,1
113234,0
113235,0
113236,0
113237,0
113238,0
113239,0
113240,0
113241,0
113242,1
113243,0
113244,0
113245,0
113246,0
113247,0
113248,0
113249,0
113250,0
113251,0
113252,0
113253,0
113254,0
113255,0
113256,0
113257,0
113258,1
113259,0
113260,1
113261,0
113262,0
113263,0
113264,0
113265,1
113266,0
113267,0
113268,0
113269,0
113270,0
113271,0
113272,0
113273,0
113274,0
113275,0
113276,0
113277,0
113278,0
113279,0
113280,0
113281,0
113282,0
113283,0
113284,0
113285,0
113286,0
113287,0
113288,0
113289,1
113290,0
113291,0
113292,1
113293,0
113294,0
113295,0
113296,0
113297,0
113298,0
113299,0
113300,0
113301,0
113302,0
113303,0
113304,0
113305,0
113306,1
113307,0
113308,0
113309,1
113310,0
113311,0
113312,0
113313,1
113314,0
113315,0
113316,0
113317,0
113318,0
113319,0
113320,0
113321,0
113322,0
113323,0
113324,1
113325,0
113326,0
113327,1
113328,0
113329,1
113330,1
113331,0
113332,0
113333,0
113334,0
113335,1
113336,0
113337,0
113338,0
113339,0
113340,0
113341,1
113342,0
113343,0
113344,0
113345,0
113346,0
113347,0
113348,0
113349,0
113350,0
113351,0
113352,0
113353,0
113354,0
113355,0
113356,1
113357,0
113358,0
113359,0
113360,0
113361,0
113362,0
113363,0
113364,0
113365,0
113366,0
113367,0
113368,0
113369,0
113370,0
113371,0
113372,0
113373,0
113374,0
113375,0
113376,0
113377,0
113378,0
113379,0
113380,0
113381,0
113382,0
113383,0
113384,0
113385,0
113386,0
113387,1
113388,0
113389,0
113390,0
113391,0
113392,0
113393,0
113394,0
113395,0
113396,0
113397,0
113398,0
113399,0
113400,0
113401,1
113402,0
113403,0
113404,0
113405,0
113406,0
113407,0
113408,0
113409,0
113410,0
113411,0
113412,0
113413,0
113414,0
113415,0
